bucket,title,authors,year,venue,doi,arxiv,url,best_citation_count,final_section,claim_supported,final_action,metadata_status,notes
EWS,Early-warning signals for critical transitions,"Scheffer, M., Bascompte, J., Brock, W.A., Brovkin, V., Carpenter, S.R., Dakos, V., Held, H., van Nes, E.H., Rietkerk, M., & Sugihara, G.",2009,Nature,10.1038/nature08227,,,4578.0,intro,Establishes variance and lag-1 autocorrelation (AC1) as the canonical generic EWS baselines the paper competes against,cite_main,verified,
EWS,Anticipating critical transitions,"Scheffer, M., Carpenter, S.R., Lenton, T.M., Bascompte, J., Brock, W., Dakos, V., van de Koppel, J., van de Leemput, I.A., Levin, S.A., van Nes, E.H., Pascual, M., & Vandermeer, J.",2012,Science,10.1126/science.1225244,,,2177.0,intro,Justifies the cross-disciplinary CSD theoretical framing within which the criterion sits,cite_main,verified,
EWS,Early warnings of regime shifts: A whole-ecosystem experiment,"Carpenter, S.R., Cole, J.J., Pace, M.L., Batt, R., Brock, W.A., Cline, T., Coloso, J., Hodgson, J.R., Kitchell, J.F., Seekell, D.A., Smith, L., & Weidel, B.",2011,Science,10.1126/science.1203672,,,897.0,intro,Validates variance and AC1 as empirically verified baselines with experimental proof,cite_main,verified,
EWS,Methods for detecting early warnings of critical transitions in time series illustrated using simulated ecological data,"Dakos, V., Carpenter, S.R., Brock, W.A., Ellison, A.M., Guttal, V., Ives, A.R., Kefi, S., Livina, V., Seekell, D.A., van Nes, E.H., & Scheffer, M.",2012,PLOS ONE,10.1371/journal.pone.0041010,,,989.0,methods,Defines the methodological benchmark toolkit (earlywarnings R package) the paper matches or beats,cite_main,verified,
EWS,Early warning signals and the prosecutor's fallacy,"Boettiger, C., & Hastings, A.",2012,Proc. Royal Society B,10.1098/rspb.2012.2085,,,132.0,methods,Identifies the prosecutor's fallacy as a systematic false-positive source in generic EWS; directly motivates matched FP design,cite_main,verified,
Collapse,Catastrophic shifts in ecosystems,"Scheffer, M., Carpenter, S., Foley, J.A., Folke, C., & Walker, B.",2001,Nature,10.1038/35098000,,,7211.0,intro,"Provides the foundational vocabulary of catastrophic shift, hysteresis, and loss of viable state",cite_main,verified,
Collapse,Resilience and stability of ecological systems,"Holling, C.S.",1973,Annual Review of Ecology and Systematics,10.1146/annurev.es.04.110173.000245,,,17503.0,intro,Grounds the viable state space language; distinguishes collapse as loss of Holling resilience from temporary displacement,cite_main,verified,
Collapse,Catastrophic cascade of failures in interdependent networks,"Buldyrev, S.V., Parshani, R., Paul, G., Stanley, H.E., & Havlin, S.",2010,Nature,10.1038/nature08932,,,4317.0,theory,Supports framing of recursive cascading no-progress as a distinct first-order failure mode,cite_main,verified,
Collapse,Universal resilience patterns in complex networks,"Gao, J., Barzel, B., & Barabasi, A.-L.",2016,Nature,10.1038/nature16948,,,1161.0,theory,"Directly supports use of a scalar criterion (G, p, delta) to characterize collapse proximity in a high-dimensional system",cite_main,verified,
Collapse,"Resilience, adaptability and transformability in social-ecological systems","Walker, B., Holling, C.S., Carpenter, S.R., & Kinzig, A.",2004,Ecology and Society,10.5751/ES-00650-090205,,,7337.0,theory,"Provides the exact vocabulary of viable state space, latitude, and precariousness; licenses stability-landscape geometry",cite_main,verified,
Recommenders,Blockbuster culture's next rise or fall: The impact of recommender systems on sales diversity,"Fleder, D., & Hosanagar, K.",2009,Management Science,10.1287/mnsc.1080.0974,,,1.0,recommender,Establishes the sales diversity narrowing phenomenon that motivates using MovieLens to test recursive collapse,cite_main,verified, | manually verified metadata
Recommenders,How algorithmic confounding in recommendation systems increases homogeneity and decreases utility,"Chaney, A.J.B., Stewart, B.M., & Engelhardt, B.E.",2018,ACM RecSys,10.1145/3240323.3240370,,,312.0,recommender,Key methodological precedent: establishes MovieLens as a confounded dataset generated under collaborative filtering,cite_main,verified,
Recommenders,Degenerate feedback loops in recommender systems,"Jiang, R., Chiappa, S., Lattimore, T., Gyorgy, A., & Kohli, P.",2019,AIES/ACM,10.1145/3306618.3314288,,,131.0,recommender,"Theoretical anchor: recursive collapse in recommenders is structural degeneracy, not a bug; degenerate fixed-point attractor",cite_main,verified,
Recommenders,Feedback loop and bias amplification in recommender systems,"Mansoury, M., Abdollahpouri, H., Pechenizkiy, M., Mobasher, B., & Burke, R.",2020,CIKM,10.1145/3340531.3412152,,,21.0,recommender,Provides the direct empirical baseline for the MovieLens experiment: quantifies round-by-round bias amplification,cite_main,verified,
Markets,Market liquidity and funding liquidity,"Brunnermeier, M.K., & Pedersen, L.H.",2009,Review of Financial Studies,10.1093/rfs/hhn098,,,4834.0,markets,Theoretical backbone for Volmageddon and March 2020 events as liquidity-spiral phenomena; warning criterion measures pre-spiral fragility,cite_main,verified,
Markets,Volmageddon and the failure of short volatility products,"Augustin, P., Chen, C., & Van den Bergen, H.",2021,Financial Analysts Journal,10.1080/0015198x.2021.1913040,,,,markets,Canonical peer-reviewed post-mortem of Volmageddon; establishes the event timeline and recursive feedback loop anatomy,cite_main,verified,SSRN: 3819342 also listed | manually verified metadata
Markets,Understanding the VIX,"Whaley, R.E.",2009,Journal of Portfolio Management,10.3905/jpm.2009.35.3.098,,,594.0,markets,Provides methodological basis for interpreting VIX level and spikes as market-stress indicators,cite_main,verified,listed as 2000/2009; DOI given for 2009 update; original 2000 paper titled The investor fear gauge (JPM 26:3); verify which to cite primarily | manually verified metadata
Markets,Report of the Market-Wide Circuit Breaker (MWCB) Working Group,NYSE Market-Wide Circuit Breaker Working Group,2020,NYSE / SEC,,,https://www.nyse.com/publicdocs/nyse/markets/nyse/Report_of_the_Market-Wide_Circuit_Breaker_Working_Group.pdf,,markets,Provides officially documented ground-truth event labels for March 2020 circuit-breaker collapse test cases,cite_main,institutional_report,institutional report; not peer-reviewed | Clear false DOI/citation match from API; use official report/source manually.
Markets,"Findings Regarding the Market Events of May 6, 2010",CFTC and SEC Staff,2010,SEC / CFTC,,,https://www.sec.gov/news/studies/2010/marketevents-report.pdf,,markets,Establishes 2010 Flash Crash as a recognized officially documented feedback-driven microstructure collapse,cite_main,institutional_report,institutional report; not peer-reviewed | Clear false DOI/citation match from API; use official report/source manually.
Markets,Can ETFs Contribute to Systemic Risk?,ESRB Advisory Scientific Committee,2019,ESRB,,,https://www.esrb.europa.eu/pub/pdf/asc/esrb.asc190617_9_canetfscontributesystemicrisk~983ea11870.en.pdf,22.0,markets,Provides regulatory backing for VIX ETPs as systemic risk vectors; strengthens Volmageddon as a genuine systemic event,cite_main,institutional_report,institutional report; ESRB Advisory Scientific Committee Reports No. 9; not peer-reviewed
Formal-Lean,The Lean 4 Theorem Prover and Programming Language,"de Moura, L., & Ullrich, S.",2021,CADE-28,10.1007/978-3-030-79876-5_37,,,163.0,formal,Establishes Lean 4 as the specific version of the proof assistant used; Lean 4 kernel is the trust anchor,cite_main,verified,cite over Lean 3 paper if artifact is in Lean 4
Formal-Lean,The Lean mathematical library,The mathlib Community,2020,CPP (ACM SIGPLAN),10.1145/3372885.3373824,,,137.0,formal,Required citation whenever import Mathlib appears in Lean code; justifies reliance on mathlib infrastructure,cite_main,verified,
Formal-Lean,Formally verified mathematics,"Avigad, J., & Harrison, J.",2014,Communications of the ACM,10.1145/2591012,,,93.0,formal,Justifies why a Lean-verified obstruction is a meaningful artifact beyond informal proof; kernel-checked proofs are epistemically superior,cite_main,verified,
Formal-Lean,Mathematics and the formal turn,"Avigad, J.",2024,Bulletin of the American Mathematical Society,,2311.00007,,11.0,formal,Up-to-date survey placing the Lean-verified result within the contemporary landscape of formalized mathematics,cite_main,verified,DOI not provided in source; available via AMS; arXiv 2311.00007
Formal-Lean,A formal proof of the Kepler conjecture,"Hales, T., Adams, M., Bauer, G., Dang, T.D., Harrison, J., Hoang, L.T., et al.",2017,Forum of Mathematics Pi,10.1017/fmp.2017.1,,,334.0,formal,Canonical precedent for a formally verified proof accepted as completed mathematical proof in a research journal,cite_main,verified,verified using HOL Light / Isabelle; analogy to Lean applies
Missing-Clusters,Quantifying limits to detection of early warning for critical transitions,"Boettiger, C., & Hastings, A.",2012,Journal of the Royal Society Interface,10.1098/rsif.2012.0125,,,,methods,Introduces power analysis and ROC trade-offs for comparing EWS indicators; grounds the locked false-positive contract methodologically,cite_main,verified,Cluster 1: ROC/AUC/Power Analysis; different paper from EWS #7 (that paper DOI 10.1098/rspb.2012.2085) | manually verified metadata
Missing-Clusters,The meaning and use of the area under a receiver operating characteristic (ROC) curve,"Hanley, J.A., & McNeil, B.J.",1982,Radiology,10.1148/radiology.143.1.7063747,,,21600.0,methods,Foundational ROC curve paper; required citation when AUC comparisons are used to evaluate competing predictors at matched false-positive rates,cite_main,verified,Cluster 1: ROC/AUC/Power Analysis
Missing-Clusters,AI models collapse when trained on recursively generated data,"Shumailov, I., Shumaylov, Z., Zhao, Y., Papernot, N., Anderson, R., & Gal, Y.",2024,Nature,10.1038/s41586-024-07566-y,,,503.0,intro,"Directly proves recursive collapse (variance collapse, diversity loss) in generative systems trained on their own outputs; closest existing paper to this contribution",cite_main,verified,Cluster 3: Model Collapse in Recursive Generative Systems; must-cite per Perplexity
Missing-Clusters,Systematically false positives in early warning signal analysis,"Diks, C., Hommes, C., & Wang, J.",2019,PLOS ONE,10.1371/journal.pone.0211072,,,20.0,methods,Identifies entire classes of systems that always produce rising variance/AC1 without approaching transition; essential for justifying matched FP design,cite_main,verified,Cluster 6: Systematic False Positives in EWS
