run,generation,mean_perplexity,regime,baseline,gap,G_amplification,p_persistence,cross_run_std,delta_diversity,window_class
1,0,33.888,no_preservation,33.888,0.0,,0.0,0.0385006493451735,25.973587900676826,control
1,1,60.652,no_preservation,33.888,26.764000000000003,,1.0,0.3946821505971625,2.5336843799167976,event
1,2,54.21,no_preservation,33.888,20.322000000000003,-33.205999999999996,0.7593035420714392,0.5191104892024455,1.9263721708578587,event
1,3,53.942,no_preservation,33.888,20.054,6.1739999999999995,0.7492900911672395,0.5111543798110311,1.956356121549209,event
1,4,54.133,no_preservation,33.888,20.245000000000005,0.4590000000000032,0.7564265431176208,0.8537673570709985,1.1712792621056385,event
1,5,53.29,no_preservation,33.888,19.402,-1.034000000000006,0.7249290091167239,0.831964362217516,1.201974562149035,event
1,6,53.252,no_preservation,33.888,19.364000000000004,0.8050000000000068,0.7235091914512032,0.6058027731861265,1.6507022487544152,event
1,7,52.485,no_preservation,33.888,18.597,-0.7290000000000063,0.694851292781348,0.5991005758635184,1.6691688178710928,event
1,8,52.638,no_preservation,33.888,18.75,0.9200000000000016,0.7005679270662083,0.2745099269607561,3.642855510077636,event
1,9,52.37,no_preservation,33.888,18.482,-0.4209999999999994,0.6905544761620086,0.5373496999161705,1.8609855000496056,event
2,0,33.811,no_preservation,33.811,0.0,,0.0,0.0385006493451735,25.973587900676826,control
2,1,61.38,no_preservation,33.811,27.569000000000003,,1.0,0.3946821505971625,2.5336843799167976,event
2,2,53.75,no_preservation,33.811,19.939,-35.199000000000005,0.7232398708694547,0.5191104892024455,1.9263721708578587,event
2,3,54.172,no_preservation,33.811,20.360999999999997,8.052,0.7385469186405018,0.5111543798110311,1.956356121549209,event
2,4,54.632,no_preservation,33.811,20.821,0.0380000000000038,0.7552323261634443,0.8537673570709985,1.1712792621056385,event
2,5,53.827,no_preservation,33.811,20.016,-1.2650000000000006,0.7260328629982951,0.831964362217516,1.201974562149035,event
2,6,52.945,no_preservation,33.811,19.134,-0.0769999999999981,0.6940404077043055,0.6058027731861265,1.6507022487544152,event
2,7,53.482,no_preservation,33.811,19.671,1.418999999999997,0.7135188073560883,0.5991005758635184,1.6691688178710928,event
2,8,53.213,no_preservation,33.811,19.402,-0.8059999999999974,0.703761471217672,0.2745099269607561,3.642855510077636,event
2,9,52.025,no_preservation,33.811,18.214,-0.919000000000004,0.6606695926584206,0.5373496999161705,1.8609855000496056,event
3,0,33.888,no_preservation,33.888,0.0,,0.0,0.0385006493451735,25.973587900676826,control
3,1,60.498,no_preservation,33.888,26.61,,1.0,0.3946821505971625,2.5336843799167976,event
3,2,54.172,no_preservation,33.888,20.284,-32.936,0.7622698233746712,0.5191104892024455,1.9263721708578587,event
3,3,53.52,no_preservation,33.888,19.632000000000005,5.674000000000007,0.7377677564825256,0.5111543798110311,1.956356121549209,event
3,4,53.021,no_preservation,33.888,19.133000000000003,0.1529999999999916,0.7190154077414507,0.8537673570709985,1.1712792621056385,event
3,5,52.216,no_preservation,33.888,18.328000000000003,-0.3059999999999974,0.6887636226982339,0.831964362217516,1.201974562149035,event
3,6,52.025,no_preservation,33.888,18.137,0.6139999999999972,0.6815858699736941,0.6058027731861265,1.6507022487544152,event
3,7,52.408,no_preservation,33.888,18.520000000000003,0.5740000000000052,0.6959789552799701,0.5991005758635184,1.6691688178710928,event
3,8,52.523,no_preservation,33.888,18.635000000000005,-0.2680000000000007,0.7003006388575725,0.2745099269607561,3.642855510077636,event
3,9,51.718,no_preservation,33.888,17.830000000000005,-0.9200000000000016,0.6700488538143557,0.5373496999161705,1.8609855000496056,event
4,0,33.85,no_preservation,33.85,0.0,,0.0,0.0385006493451735,25.973587900676826,control
4,1,60.422,no_preservation,33.85,26.571999999999996,,1.0,0.3946821505971625,2.5336843799167976,event
4,2,53.175,no_preservation,33.85,19.324999999999996,-33.818999999999996,0.7272693060364293,0.5191104892024455,1.9263721708578587,event
4,3,52.83,no_preservation,33.85,18.979999999999997,6.902000000000001,0.7142857142857143,0.5111543798110311,1.956356121549209,event
4,4,54.44,no_preservation,33.85,20.589999999999996,1.9549999999999983,0.7748758091223844,0.8537673570709985,1.1712792621056385,event
4,5,54.363,no_preservation,33.85,20.513,-1.6869999999999976,0.771978021978022,0.831964362217516,1.201974562149035,event
4,6,53.673,no_preservation,33.85,19.823,-0.6129999999999995,0.746010838476592,0.6058027731861265,1.6507022487544152,event
4,7,53.482,no_preservation,33.85,19.632,0.4989999999999952,0.7388228210146018,0.5991005758635184,1.6691688178710928,event
4,8,52.715,no_preservation,33.85,18.865,-0.5759999999999934,0.7099578503688094,0.2745099269607561,3.642855510077636,event
4,9,52.101,no_preservation,33.85,18.251,0.1529999999999916,0.6868508204124643,0.5373496999161705,1.8609855000496056,event
5,0,33.811,no_preservation,33.811,0.0,,0.0,0.0385006493451735,25.973587900676826,control
5,1,60.498,no_preservation,33.811,26.687,,1.0,0.3946821505971625,2.5336843799167976,event
5,2,54.517,no_preservation,33.811,20.706000000000003,-32.667999999999985,0.7758833889159518,0.5191104892024455,1.9263721708578587,event
5,3,53.558,no_preservation,33.811,19.747,5.021999999999991,0.7399482894293102,0.5111543798110311,1.956356121549209,event
5,4,52.753,no_preservation,33.811,18.942,0.1540000000000034,0.7097837898602316,0.8537673570709985,1.1712792621056385,event
5,5,52.868,no_preservation,33.811,19.057,0.9200000000000016,0.7140930040843858,0.831964362217516,1.201974562149035,event
5,6,52.945,no_preservation,33.811,19.134,-0.0380000000000038,0.7169783040431672,0.6058027731861265,1.6507022487544152,event
5,7,52.293,no_preservation,33.811,18.482,-0.7289999999999992,0.6925469329636152,0.5991005758635184,1.6691688178710928,event
5,8,52.6,no_preservation,33.811,18.789,0.9590000000000032,0.7040506613707049,0.2745099269607561,3.642855510077636,event
5,9,53.137,no_preservation,33.811,19.326,0.2299999999999968,0.7241728182261027,0.5373496999161705,1.8609855000496056,event
1,0,33.853,ten_pct_preservation,33.853,0.0,,0.0,0.011627553483,86.00261451921453,control
1,1,40.213,ten_pct_preservation,33.853,6.359999999999999,,1.0,0.8721462033397852,1.1465967473923675,event
1,2,37.861,ten_pct_preservation,33.853,4.007999999999996,-8.712000000000003,0.6301886792452823,1.467337725269818,0.6815063654252584,event
1,3,36.928,ten_pct_preservation,33.853,3.0749999999999957,1.419000000000004,0.4834905660377352,1.8517053491309052,0.5400427235733527,event
1,4,36.928,ten_pct_preservation,33.853,3.0749999999999957,0.9329999999999998,0.4834905660377352,1.330066990794074,0.7518418297133905,event
1,5,36.744,ten_pct_preservation,33.853,2.8909999999999982,-0.1839999999999975,0.4545597484276727,0.3066998532767813,3.2605167212047865,event
1,6,36.954,ten_pct_preservation,33.853,3.100999999999999,0.3939999999999983,0.4875786163522012,0.1076884394909698,9.2860478313817,event
1,7,36.901,ten_pct_preservation,33.853,3.048000000000002,-0.2629999999999981,0.4792452830188682,0.0445275195805929,22.45802167780853,event
1,8,37.151,ten_pct_preservation,33.853,3.298000000000002,0.3029999999999972,0.5185534591194972,0.1323982628284857,7.552969190354423,event
1,9,37.02,ten_pct_preservation,33.853,3.1670000000000016,-0.3810000000000002,0.4979559748427676,0.172122921192968,5.80980146670236,event
2,0,33.853,ten_pct_preservation,33.853,0.0,,0.0,0.011627553483,86.00261451921453,control
2,1,41.474,ten_pct_preservation,33.853,7.620999999999995,,1.0,0.8721462033397852,1.1465967473923675,event
2,2,41.133,ten_pct_preservation,33.853,7.280000000000001,-7.961999999999989,0.955255215850939,1.467337725269818,0.6815063654252584,event
2,3,41.225,ten_pct_preservation,33.853,7.372,0.4329999999999927,0.9673271224248792,1.8517053491309052,0.5400427235733527,event
2,4,39.871,ten_pct_preservation,33.853,6.018000000000001,-1.445999999999998,0.789660149586669,1.330066990794074,0.7518418297133905,event
2,5,37.532,ten_pct_preservation,33.853,3.678999999999995,-0.9850000000000064,0.482745046581813,0.3066998532767813,3.2605167212047865,event
2,6,37.164,ten_pct_preservation,33.853,3.311,1.9710000000000107,0.4344574202860519,0.1076884394909698,9.2860478313817,event
2,7,36.888,ten_pct_preservation,33.853,3.0349999999999966,0.0919999999999916,0.3982417005642302,0.0445275195805929,22.45802167780853,event
2,8,36.809,ten_pct_preservation,33.853,2.955999999999996,0.1970000000000027,0.3878756068757378,0.1323982628284857,7.552969190354423,event
2,9,36.875,ten_pct_preservation,33.853,3.0219999999999985,0.1450000000000031,0.3965358876787823,0.172122921192968,5.80980146670236,event
3,0,33.853,ten_pct_preservation,33.853,0.0,,0.0,0.011627553483,86.00261451921453,control
3,1,42.026,ten_pct_preservation,33.853,8.173000000000002,,1.0,0.8721462033397852,1.1465967473923675,event
3,2,39.845,ten_pct_preservation,33.853,5.991999999999997,-10.354000000000006,0.7331457237244581,1.467337725269818,0.6815063654252584,event
3,3,38.097,ten_pct_preservation,33.853,4.244,0.4330000000000069,0.5192707696072432,1.8517053491309052,0.5400427235733527,event
3,4,37.085,ten_pct_preservation,33.853,3.2319999999999993,0.7359999999999971,0.395448427749908,1.330066990794074,0.7518418297133905,event
3,5,36.862,ten_pct_preservation,33.853,3.0090000000000003,0.7890000000000015,0.3681634650679065,0.3066998532767813,3.2605167212047865,event
3,6,36.915,ten_pct_preservation,33.853,3.0619999999999976,0.2759999999999962,0.3746482319833594,0.1076884394909698,9.2860478313817,event
3,7,36.796,ten_pct_preservation,33.853,2.942999999999998,-0.171999999999997,0.3600880949467756,0.0445275195805929,22.45802167780853,event
3,8,37.112,ten_pct_preservation,33.853,3.2590000000000003,0.4350000000000023,0.398751988254007,0.1323982628284857,7.552969190354423,event
3,9,36.849,ten_pct_preservation,33.853,2.995999999999995,-0.5790000000000077,0.3665728618622286,0.172122921192968,5.80980146670236,event
4,0,33.853,ten_pct_preservation,33.853,0.0,,0.0,0.011627553483,86.00261451921453,control
4,1,40.068,ten_pct_preservation,33.853,6.214999999999996,,1.0,0.8721462033397852,1.1465967473923675,event
4,2,37.992,ten_pct_preservation,33.853,4.138999999999996,-8.290999999999997,0.665969428801287,1.467337725269818,0.6815063654252584,event
4,3,36.941,ten_pct_preservation,33.853,3.088000000000001,1.0250000000000057,0.4968624296057929,1.8517053491309052,0.5400427235733527,event
4,4,36.717,ten_pct_preservation,33.853,2.863999999999997,0.8269999999999911,0.4608205953338695,1.330066990794074,0.7518418297133905,event
4,5,36.928,ten_pct_preservation,33.853,3.0749999999999957,0.4350000000000023,0.4947707160096536,0.3066998532767813,3.2605167212047865,event
4,6,37.072,ten_pct_preservation,33.853,3.219000000000001,-0.066999999999993,0.5179404666130335,0.1076884394909698,9.2860478313817,event
4,7,36.888,ten_pct_preservation,33.853,3.0349999999999966,-0.32800000000001,0.4883346741753819,0.0445275195805929,22.45802167780853,event
4,8,37.02,ten_pct_preservation,33.853,3.1670000000000016,0.3160000000000096,0.5095736122284801,0.1323982628284857,7.552969190354423,event
4,9,37.243,ten_pct_preservation,33.853,3.390000000000001,0.0909999999999939,0.5454545454545459,0.172122921192968,5.80980146670236,event
5,0,33.827,ten_pct_preservation,33.827,0.0,,0.0,0.011627553483,86.00261451921453,control
5,1,40.344,ten_pct_preservation,33.827,6.517000000000003,,1.0,0.8721462033397852,1.1465967473923675,event
5,2,37.979,ten_pct_preservation,33.827,4.152000000000001,-8.882000000000005,0.6371029614853458,1.467337725269818,0.6815063654252584,event
5,3,36.98,ten_pct_preservation,33.827,3.1529999999999987,1.3659999999999997,0.4838115697406778,1.8517053491309052,0.5400427235733527,event
5,4,36.915,ten_pct_preservation,33.827,3.088000000000001,0.9340000000000046,0.4738376553628969,1.330066990794074,0.7518418297133905,event
5,5,36.941,ten_pct_preservation,33.827,3.1140000000000043,0.091000000000001,0.4778272211140099,0.3066998532767813,3.2605167212047865,event
5,6,36.928,ten_pct_preservation,33.827,3.100999999999999,-0.0390000000000085,0.4758324382384529,0.1076884394909698,9.2860478313817,event
5,7,36.901,ten_pct_preservation,33.827,3.074000000000005,-0.0139999999999886,0.4716894276507601,0.0445275195805929,22.45802167780853,event
5,8,37.02,ten_pct_preservation,33.827,3.193000000000005,0.1459999999999937,0.4899493632039287,0.1323982628284857,7.552969190354423,event
5,9,36.836,ten_pct_preservation,33.827,3.0090000000000003,-0.3030000000000044,0.4617155132729782,0.172122921192968,5.80980146670236,event
