family,config_id,window,threshold_a,threshold_b,n_events,n_event_success,n_event_fail,event_success_rate,event_success_ids,event_fail_ids,median_lead_minutes,median_lead_bars,n_controls,n_controls_with_alarm,n_controls_without_alarm,control_alarm_ids,control_silent_ids,control_window_fp_rate,control_row_fp_rate,control_window_fp_accepted,total_control_alarm_rows,total_control_rows
ac1,ac1_w45_a0.2,45,0.2,,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],493.14166666666665,493.14166666666665,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.190414786159467,False,2658,13959
ac1,ac1_w45_a0.3,45,0.3,,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],409.14166666666665,409.14166666666665,16,15,1,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",['volmageddon_control_2018_01_31'],0.9375,0.09320151873343363,False,1301,13959
ac1,ac1_w45_a0.4,45,0.4,,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],370.64166666666665,370.64166666666665,16,15,1,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",['volmageddon_control_2018_01_31'],0.9375,0.04427251235761874,False,618,13959
ac1,ac1_w45_a0.5,45,0.5,,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,16,11,5,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_27']","['volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'covid_noncollapse_2020_03_26']",0.6875,0.016548463356973995,False,231,13959
ac1,ac1_w45_a0.6,45,0.6,,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,16,3,13,"['covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24']","['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.1875,0.0025073429328748478,False,35,13959
ac1,ac1_w60_a0.2,60,0.2,,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],487.14166666666665,487.14166666666665,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.22315352102586145,False,3115,13959
ac1,ac1_w60_a0.3,60,0.3,,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],370.64166666666665,370.64166666666665,16,15,1,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",['volmageddon_control_2018_01_31'],0.9375,0.10588151013682928,False,1478,13959
ac1,ac1_w60_a0.4,60,0.4,,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],370.64166666666665,370.64166666666665,16,13,3,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']","['volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01']",0.8125,0.051866179525753994,False,724,13959
ac1,ac1_w60_a0.5,60,0.5,,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,16,9,7,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_27']","['volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_26']",0.5625,0.018912529550827423,False,264,13959
ac1,ac1_w60_a0.6,60,0.6,,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,16,3,13,"['covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24']","['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.1875,0.002220789454832008,False,31,13959
cusum,cusum_w16_a0.25_b2.0,16,0.25,2.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],583.1416666666667,583.1416666666667,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.14950927716885162,False,2087,13959
cusum,cusum_w16_a0.25_b3.0,16,0.25,3.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],577.1416666666667,577.1416666666667,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.09098072927860162,False,1270,13959
cusum,cusum_w16_a0.25_b4.0,16,0.25,4.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],543.6416666666667,543.6416666666667,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.05559137474031091,False,776,13959
cusum,cusum_w16_a0.5_b2.0,16,0.5,2.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],545.1416666666667,545.1416666666667,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.04240991475034028,False,592,13959
cusum,cusum_w16_a0.5_b3.0,16,0.5,3.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],519.1416666666667,519.1416666666667,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.02127659574468085,False,297,13959
cusum,cusum_w16_a0.5_b4.0,16,0.5,4.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],446.14166666666665,446.14166666666665,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.01167705423024572,False,163,13959
cusum,cusum_w16_a0.75_b2.0,16,0.75,2.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],446.64166666666665,446.64166666666665,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.013109821620459918,False,183,13959
cusum,cusum_w16_a0.75_b3.0,16,0.75,3.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],403.14166666666665,403.14166666666665,16,14,2,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26']","['covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_27']",0.875,0.005587792821835375,False,78,13959
cusum,cusum_w16_a0.75_b4.0,16,0.75,4.0,2,1,1,0.5,['covid_mwcb_2020_03_18'],['volmageddon_2018_xiv'],201.28333333333333,201.28333333333333,16,8,8,"['volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25']","['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_02', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.5,0.0027222580414069776,False,38,13959
cusum,cusum_w30_a0.25_b2.0,30,0.25,2.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],577.1416666666667,577.1416666666667,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.2271652697184612,False,3171,13959
cusum,cusum_w30_a0.25_b3.0,30,0.25,3.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],576.6416666666667,576.6416666666667,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.17830790171215702,False,2489,13959
cusum,cusum_w30_a0.25_b4.0,30,0.25,4.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],564.1416666666667,564.1416666666667,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.1391217135897987,False,1942,13959
cusum,cusum_w30_a0.5_b2.0,30,0.5,2.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],577.1416666666667,577.1416666666667,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.08661078873844831,False,1209,13959
cusum,cusum_w30_a0.5_b3.0,30,0.5,3.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],471.64166666666665,471.64166666666665,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.06160899777921054,False,860,13959
cusum,cusum_w30_a0.5_b4.0,30,0.5,4.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],470.64166666666665,470.64166666666665,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.04477398094419371,False,625,13959
cusum,cusum_w30_a0.75_b2.0,30,0.75,2.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],495.64166666666665,495.64166666666665,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.03503116269073716,False,489,13959
cusum,cusum_w30_a0.75_b3.0,30,0.75,3.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],471.64166666666665,471.64166666666665,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.02414213052510925,False,337,13959
