config_id,delta_window,p_window,g_window,eps_g,tau_delta,tau_p,p_z_threshold,k_consec_alarm,warmup_bars,n_events,n_event_success,n_event_fail,event_success_rate,event_success_ids,event_fail_ids,median_lead_minutes,median_lead_bars,total_alarm_count_events,total_pre_collapse_alarm_count,n_controls,n_controls_with_alarm,n_controls_without_alarm,control_alarm_ids,control_silent_ids,control_window_fp_rate,control_row_fp_rate,control_window_fp_accepted,control_row_fp_accepted,total_control_alarm_rows,total_control_rows,provisional_score
cfg_020173,16,45,16,0.1,-0.05,0.0,1.0,5,0,5,3,2,0.6,"['covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']","['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09']",146.01666666666668,146.0,14,5,20,6,14,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_25']","['volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.3,0.0006261384335154,False,False,11,17568,-472403.3738615665
cfg_020317,16,45,16,0.1,-0.02,0.0,1.0,5,0,5,4,1,0.8,"['covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",['volmageddon_2018_xiv'],120.61666666666667,120.5,15,6,20,7,13,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_02_01', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_25']","['volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.35,0.0007399817850637,False,False,13,17568,-562928.7600182149
cfg_093917,45,45,16,0.1,-0.05,0.0,1.5,5,0,5,4,1,0.8,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",['covid_mwcb_2020_03_12'],251.65,251.5,15,10,20,8,12,"['volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26']","['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_02', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_27']",0.4,0.0013091985428051,False,False,23,17568,-663297.1908014572
cfg_093933,45,45,16,0.1,-0.05,0.0,2.0,5,0,5,4,1,0.8,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",['covid_mwcb_2020_03_12'],251.65,251.5,14,10,20,9,11,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26']","['volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_02', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_27']",0.45,0.0014230418943533,False,False,25,17568,-763797.0769581057
cfg_103117,45,60,16,0.1,-0.05,0.0,1.0,5,0,5,4,1,0.8,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",['covid_mwcb_2020_03_12'],251.65,251.5,13,9,20,10,10,"['volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26']","['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_02', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_27']",0.5,0.0013091985428051,False,False,23,17568,-864297.1908014572
cfg_130781,60,45,16,0.1,-0.05,0.0,1.5,5,0,5,4,1,0.8,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",['covid_mwcb_2020_03_12'],291.6166666666667,291.5,14,9,20,11,9,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26']","['volmageddon_control_2018_02_02', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_27']",0.55,0.0014799635701275,False,False,26,17568,-964757.02003643
cfg_101981,45,60,16,0.02,-0.05,0.0,1.5,5,0,5,5,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",[],202.28333333333333,202.0,22,17,20,12,8,"['volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']","['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_02', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_20']",0.6,0.0021061020036429,False,False,37,17568,-1055345.8938979963
cfg_066685,30,60,16,0.1,0.02,0.0,1.0,5,0,5,5,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",[],204.28333333333333,204.0,23,17,20,13,7,"['volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26']","['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_27']",0.65,0.0020491803278688,False,False,36,17568,-1155843.950819672
cfg_006365,16,16,45,0.1,-0.05,0.0,1.5,5,0,5,5,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",[],202.28333333333333,202.0,41,14,20,14,6,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']","['volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_02', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_19']",0.7,0.0019922586520947,False,False,35,17568,-1256346.007741348
cfg_107741,45,60,45,0.1,-0.05,0.0,1.5,5,0,5,5,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",[],300.01666666666665,300.0,45,22,20,15,5,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']","['volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_02', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_24']",0.75,0.0026183970856102,False,False,46,17568,-1356747.3816029143
cfg_079517,45,16,45,0.05,-0.05,0.0,1.5,5,0,5,5,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",[],300.01666666666665,300.0,48,20,20,16,4,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']","['volmageddon_control_2018_01_30', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_19']",0.8,0.0033583788706739,False,False,59,17568,-1457246.6416211294
cfg_093053,45,45,16,0.02,0.0,0.0,1.5,5,0,5,5,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",[],301.01666666666665,301.0,28,21,20,17,3,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']","['volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_02', 'covid_noncollapse_2020_03_11']",0.85,0.0032445355191256,False,False,57,17568,-1557745.755464481
cfg_108061,45,60,45,0.1,0.0,0.02,1.0,5,0,5,5,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",[],324.21666666666664,324.0,50,24,20,18,2,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']","['volmageddon_control_2018_02_02', 'covid_noncollapse_2020_03_24']",0.9,0.0044398907103825,False,False,78,17568,-1658221.5601092896
cfg_108077,45,60,45,0.1,0.0,0.02,1.5,5,0,5,5,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",[],324.21666666666664,324.0,52,24,20,19,1,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",['volmageddon_control_2018_02_02'],0.95,0.0051229508196721,False,False,90,17568,-1758720.8770491802
cfg_084673,45,30,16,0.1,-0.05,0.0,1.0,1,0,5,5,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",[],335.73333333333335,335.0,333,171,20,20,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.0738843351548269,False,False,1298,17568,-1859188.884335155
